JobID,Title,Company,CompanyCategory,Industry,Location,ExperienceLevel,ExperienceYearsMin,ExperienceYearsMax,AnnualSalaryINR,RequiredSkills,OptionalSkills,EducationRequired,JobType,PostingSource,DatePosted,IsRemote,IsActive,PostingYear,PostingMonth,PostingMonthName,PostingYearMonth,DaysOld,SalaryBand,ExperienceBracket
JOB00002,Computer Vision Engineer,Capgemini,Consulting,Logistics,Hyderabad,Senior Level (5-8 Yrs),5,8,1740000,OpenCV|Image Segmentation|Deep Learning|YOLO,TensorFlow|Object Detection,B.Sc (CS/IT),Internship,Naukri,2025-11-30,1,1,2025,11,Nov,2025-11,135,₹15–20L,Senior (6-10yrs)
JOB00003,Data Engineer,Sigmoid,Startups,Gaming,Mumbai,Senior Level (5-8 Yrs),5,8,2990000,Kafka|Airflow|SQL,ETL Pipelines|Apache Spark|Python|dbt,M.Sc (Statistics),Full-Time,Glassdoor,2025-11-23,0,1,2025,11,Nov,2025-11,142,₹20–30L,Senior (6-10yrs)
JOB00004,Business Analyst,Amazon,Consulting,Manufacturing,Mumbai,Mid Level (2-5 Yrs),2,5,530000,Requirements Gathering|Process Mapping|Tableau|JIRA,Power BI|SQL|Excel,M.Sc (Data Science),Full-Time,Company Website,2026-03-29,1,1,2026,3,Mar,2026-03,16,₹5–10L,Mid (3-6yrs)
JOB00006,Data Analyst,Cars24,Startups,Bfsi,Bangalore,Mid Level (2-5 Yrs),2,5,840000,Excel|Google Analytics|Python,Looker|Data Visualization|Tableau|SQL,B.Tech/B.E.,Full-Time,Indeed,2025-11-15,0,1,2025,11,Nov,2025-11,150,₹5–10L,Mid (3-6yrs)
JOB00007,Business Analyst,Groww,Product,E-Commerce,Bangalore,Senior Level (5-8 Yrs),5,8,1380000,SQL|JIRA|Stakeholder Management|Visio|Agile,Tableau|Process Mapping|Excel|Requirements Gathering,M.Tech/M.E.,Contract,Naukri,2025-12-12,1,1,2025,12,Dec,2025-12,123,₹10–15L,Senior (6-10yrs)
JOB00008,Data Analyst,Swiggy,Product,Bfsi,Bangalore,Mid Level (2-5 Yrs),2,5,1090000,Google Analytics|Tableau|Python|Looker,Data Visualization|Power BI,M.Tech/M.E.,Full-Time,Company Website,2025-09-02,0,1,2025,9,Sep,2025-09,224,₹10–15L,Mid (3-6yrs)
JOB00009,Data Engineer,Google,FAANG/Big Tech,Govtech,Bangalore,Mid Level (2-5 Yrs),2,5,2330000,BigQuery|Kafka|Airflow|AWS,dbt|SQL,BBA + Certification,Internship,Instahyre,2025-07-12,0,1,2025,7,Jul,2025-07,276,₹20–30L,Mid (3-6yrs)
JOB00010,Machine Learning Engineer,Sigmoid,Indian IT,Bfsi,Hyderabad,Entry Level (0-2 Yrs),0,2,1160000,TensorFlow|Python|AWS|Kubernetes|PyTorch,MLOps|Docker,MCA,Contract,Indeed,2026-01-06,0,1,2026,1,Jan,2026-01,98,₹10–15L,Fresher (0-1yr)
JOB00011,Mlops Engineer,Cars24,Product,Healthtech,Bangalore,Mid Level (2-5 Yrs),2,5,2170000,Docker|MLflow|Kubernetes|Terraform|AWS,GCP|Airflow,MBA,Full-Time,IIMJobs,2025-09-21,0,0,2025,9,Sep,2025-09,205,₹20–30L,Mid (3-6yrs)
JOB00012,Ai Engineer,Cars24,Startups,Retail,Delhi Ncr,Mid Level (2-5 Yrs),2,5,1970000,Prompt Engineering|Python|Fine-tuning,OpenAI API|RAG|LLMs,PhD,Full-Time,LinkedIn,2026-03-20,1,1,2026,3,Mar,2026-03,25,₹15–20L,Mid (3-6yrs)
JOB00013,Data Scientist,Latentview,Indian IT,Logistics,Hyderabad,Mid Level (2-5 Yrs),2,5,2110000,R|Python|Machine Learning|PyTorch|Statistics,Deep Learning|NLP,M.Sc (Statistics),Full-Time,AngelList,2025-12-02,0,1,2025,12,Dec,2025-12,133,₹20–30L,Mid (3-6yrs)
JOB00014,Data Scientist,Mckinsey,Product,It Services,Bangalore,Mid Level (2-5 Yrs),2,5,1630000,Machine Learning|Deep Learning|PyTorch|SQL|TensorFlow,Statistics|NLP,M.Sc (Data Science),Full-Time,Instahyre,2026-03-10,0,1,2026,3,Mar,2026-03,35,₹15–20L,Mid (3-6yrs)
JOB00015,Data Engineer,Musigma,Indian IT,Edtech,Delhi Ncr,Lead/Principal (8+ Yrs),8,15,3480000,Apache Spark|Airflow|SQL|Python|AWS,ETL Pipelines|dbt,M.Sc (Statistics),Full-Time,AngelList,2025-11-26,0,1,2025,11,Nov,2025-11,139,₹30L+,Principal (10+yrs)
JOB00016,Mlops Engineer,Bridgei2I,FAANG/Big Tech,Govtech,Bangalore,Entry Level (0-2 Yrs),0,2,1040000,Airflow|Kubernetes|GCP,AWS|Terraform|CI/CD|Python,MCA,Internship,LinkedIn,2026-02-16,0,1,2026,2,Feb,2026-02,57,₹10–15L,Fresher (0-1yr)
